"sample","library","readgroup","R1","R2"
TY1,LibTY1,V300076687_L01_473,"./fq/R100400180113/V300076687/L01/V300076687_L01_473-331_1.fq.gz","./fq/R100400180113/V300076687/L01/V300076687_L01_473-331_2.fq.gz"
TY1,LibTY1,V300076687_L02_473,"./fq/R100400180113/V300076687/L02/V300076687_L02_473-331_1.fq.gz","./fq/R100400180113/V300076687/L02/V300076687_L02_473-331_2.fq.gz"
TY2,LibTY2,V300076687_L01_379,"./fq/R100400180113/V300076687/L01/V300076687_L01_379-333_1.fq.gz","./fq/R100400180113/V300076687/L01/V300076687_L01_379-333_2.fq.gz"
TY2,LibTY2,V300076687_L02_379,"./fq/R100400180113/V300076687/L02/V300076687_L02_379-333_1.fq.gz","./fq/R100400180113/V300076687/L02/V300076687_L02_379-333_2.fq.gz"
TY3,LibTY31,V300076687_L01_380,"./fq/R100400180113/V300076687/L01/V300076687_L01_380-334_1.fq.gz","./fq/R100400180113/V300076687/L01/V300076687_L01_380-334_2.fq.gz"
TY3,LibTY32,V300076687_L02_380,"./fq/R100400180113/V300076687/L02/V300076687_L02_380-334_1.fq.gz","./fq/R100400180113/V300076687/L02/V300076687_L02_380-334_2.fq.gz"
TY4,LibTY41,V300076687_L01_383,"./fq/R100400180113/V300076687/L01/V300076687_L01_383-335_1.fq.gz","./fq/R100400180113/V300076687/L01/V300076687_L01_383-335_2.fq.gz"
TY4,LibTY42,V300076687_L02_383,"./fq/R100400180113/V300076687/L02/V300076687_L02_383-335_1.fq.gz","./fq/R100400180113/V300076687/L02/V300076687_L02_383-335_2.fq.gz"
